PersonenID,Alter,Geschlecht,Beruf,Haushaltstyp,Wohnviertel,Startzeit,Endzeit,Startort,Zielort,Zweck,Entfernung_km,Verkehrsmittel,Multimodal,start_lat,start_lon,ziel_lat,ziel_lon
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,06:37,06:47,Grünwinkel,Innenstadt-Ost,Einkaufen,2.3,zu Fuß,nein,49.002502,8.354849,49.008698,8.409005
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,07:34,08:05,Innenstadt-Ost,Weststadt,Arbeit,1.3,multimodal,ja,49.008698,8.409005,49.010677,8.379251
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,14:19,15:01,Weststadt,Mühlburg,Schule/Uni,2.8,zu Fuß,nein,49.010677,8.379251,49.012547,8.363908
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,21:33,22:15,Mühlburg,Innenstadt-West,Sport,2.6,ÖPNV,nein,49.012547,8.363908,49.01198,8.39505
4,62,weiblich,Student*in,alleinlebend,Grünwinkel,00:54,01:37,Innenstadt-West,Grünwinkel,Einkaufen,1.5,Fahrrad,nein,49.01198,8.39505,49.002502,8.354849
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,06:09,06:24,Durlach,Weststadt,Arztbesuch,9.6,multimodal,ja,48.99915,8.471758,49.010677,8.379251
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,08:33,07:46,Weststadt,Weststadt,Schule/Uni,1.9,ÖPNV,nein,49.010677,8.379251,49.010677,8.379251
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,15:22,15:45,Weststadt,Grötzingen,Heimweg,3.8,Fahrrad,nein,49.010677,8.379251,49.00721,8.496097
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,17:06,17:39,Grötzingen,Neureut,Freizeit,3.5,multimodal,ja,49.00721,8.496097,49.046406,8.377001
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,18:47,19:18,Neureut,Neureut,Arbeit,0.8,zu Fuß,nein,49.046406,8.377001,49.046406,8.377001
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,01:10,01:20,Neureut,Innenstadt-Ost,Arbeit,1.8,zu Fuß,nein,49.046406,8.377001,49.008698,8.409005
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,08:59,08:23,Innenstadt-Ost,Oststadt,Heimweg,2.5,Fahrrad,nein,49.008698,8.409005,49.01102,8.425555
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,10:06,10:46,Oststadt,Weststadt,Sport,2.7,Fahrrad,nein,49.01102,8.425555,49.010677,8.379251
5,35,männlich,Arbeitslos,Paar ohne Kinder,Rüppurr,11:58,12:35,Weststadt,Durlach,Heimweg,4.6,multimodal,ja,49.010677,8.379251,48.99915,8.471758
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,06:56,07:12,Oberreut,Oststadt,Sport,2.5,Fahrrad,nein,48.98578,8.361476,49.01102,8.425555
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,08:59,08:58,Oststadt,Innenstadt-West,Sport,3.4,ÖPNV,nein,49.01102,8.425555,49.01198,8.39505
6,35,weiblich,Rentner*in,alleinlebend,Grötzingen,10:07,10:45,Innenstadt-West,Oberreut,Heimweg,7.8,ÖPNV,nein,49.01198,8.39505,48.98578,8.361476
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,06:53,07:08,Innenstadt-Ost,Weststadt,Arbeit,4.4,ÖPNV,nein,49.008698,8.409005,49.010677,8.379251
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,12:57,13:32,Weststadt,Oststadt,Begleitung,9.0,multimodal,ja,49.010677,8.379251,49.01102,8.425555
7,62,männlich,Student*in,Wohngemeinschaft,Innenstadt-West,13:50,14:29,Oststadt,Innenstadt-Ost,Heimweg,4.6,Auto,nein,49.01102,8.425555,49.008698,8.409005
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,06:41,07:00,Mühlburg,Innenstadt-West,Begleitung,2.7,zu Fuß,nein,49.012547,8.363908,49.01198,8.39505
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,07:27,07:40,Innenstadt-West,Innenstadt-Ost,Arbeit,1.3,zu Fuß,nein,49.01198,8.39505,49.008698,8.409005
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,16:11,16:31,Innenstadt-Ost,Neureut,Freizeit,1.2,zu Fuß,nein,49.008698,8.409005,49.046406,8.377001
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,18:47,19:01,Neureut,Innenstadt-West,Einkaufen,4.0,Fahrrad,nein,49.046406,8.377001,49.01198,8.39505
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,20:07,20:32,Innenstadt-West,Innenstadt-Ost,Arbeit,5.1,multimodal,ja,49.01198,8.39505,49.008698,8.409005
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,05:30,06:13,Innenstadt-Ost,Oststadt,Arbeit,1.7,zu Fuß,nein,49.008698,8.409005,49.01102,8.425555
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,12:15,12:41,Oststadt,Oststadt,Heimweg,1.2,zu Fuß,nein,49.01102,8.425555,49.01102,8.425555
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,13:20,13:30,Oststadt,Neureut,Sport,2.5,zu Fuß,nein,49.01102,8.425555,49.046406,8.377001
8,50,weiblich,Selbstständig,alleinlebend,Grötzingen,14:57,15:39,Neureut,Mühlburg,Heimweg,8.4,multimodal,ja,49.046406,8.377001,49.012547,8.363908
9,32,weiblich,Angestellt,alleinlebend,Innenstadt-West,06:17,07:01,Mühlburg,Grünwinkel,Begleitung,3.7,E-Scooter,nein,49.012547,8.363908,49.002502,8.354849
9,32,weiblich,Angestellt,alleinlebend,Innenstadt-West,07:27,07:37,Grünwinkel,Neureut,Arbeit,3.1,Fahrrad,nein,49.002502,8.354849,49.046406,8.377001
9,32,weiblich,Angestellt,alleinlebend,Innenstadt-West,12:45,13:11,Neureut,Innenstadt-Ost,Erholung,3.1,ÖPNV,nein,49.046406,8.377001,49.008698,8.409005
9,32,weiblich,Angestellt,alleinlebend,Innenstadt-West,14:47,15:10,Innenstadt-Ost,Mühlburg,Heimweg,3.4,ÖPNV,nein,49.008698,8.409005,49.012547,8.363908
10,47,weiblich,Angestellt,alleinlebend,Oberreut,06:03,06:16,Knielingen,Weststadt,Begleitung,2.3,zu Fuß,nein,49.030273,8.341243,49.010677,8.379251
10,47,weiblich,Angestellt,alleinlebend,Oberreut,06:36,06:54,Weststadt,Oststadt,Sport,2.3,Fahrrad,nein,49.010677,8.379251,49.01102,8.425555
10,47,weiblich,Angestellt,alleinlebend,Oberreut,09:24,10:01,Oststadt,Innenstadt-Ost,Freizeit,1.6,zu Fuß,nein,49.01102,8.425555,49.008698,8.409005
10,47,weiblich,Angestellt,alleinlebend,Oberreut,12:10,12:22,Innenstadt-Ost,Grünwinkel,Einkaufen,2.9,Fahrrad,nein,49.008698,8.409005,49.002502,8.354849
10,47,weiblich,Angestellt,alleinlebend,Oberreut,12:54,13:23,Grünwinkel,Innenstadt-Ost,Einkaufen,2.5,zu Fuß,nein,49.002502,8.354849,49.008698,8.409005
10,47,weiblich,Angestellt,alleinlebend,Oberreut,14:08,14:24,Innenstadt-Ost,Neureut,Arbeit,3.3,Fahrrad,nein,49.008698,8.409005,49.046406,8.377001
10,47,weiblich,Angestellt,alleinlebend,Oberreut,19:43,20:08,Neureut,Oststadt,Heimweg,2.5,multimodal,ja,49.046406,8.377001,49.01102,8.425555
10,47,weiblich,Angestellt,alleinlebend,Oberreut,21:20,21:56,Oststadt,Grötzingen,Arbeit,2.9,Fahrrad,nein,49.01102,8.425555,49.00721,8.496097
10,47,weiblich,Angestellt,alleinlebend,Oberreut,02:51,03:25,Grötzingen,Knielingen,Heimweg,8.7,multimodal,ja,49.00721,8.496097,49.030273,8.341243
11,32,weiblich,Angestellt,alleinlebend,Weststadt,06:28,06:52,Grötzingen,Innenstadt-West,Erholung,3.4,ÖPNV,nein,49.00721,8.496097,49.01198,8.39505
11,32,weiblich,Angestellt,alleinlebend,Weststadt,08:00,08:27,Innenstadt-West,Neureut,Einkaufen,4.1,Fahrrad,nein,49.01198,8.39505,49.046406,8.377001
11,32,weiblich,Angestellt,alleinlebend,Weststadt,08:06,10:08,Neureut,Oststadt,Schule/Uni,1.7,zu Fuß,nein,49.046406,8.377001,49.01102,8.425555
11,32,weiblich,Angestellt,alleinlebend,Weststadt,17:50,18:22,Oststadt,Grötzingen,Heimweg,2.9,Fahrrad,nein,49.01102,8.425555,49.00721,8.496097
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,05:44,06:06,Grünwinkel,Weststadt,Heimweg,3.3,Fahrrad,nein,49.002502,8.354849,49.010677,8.379251
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,07:44,08:06,Weststadt,Innenstadt-Ost,Schule/Uni,4.7,Fahrrad,nein,49.010677,8.379251,49.008698,8.409005
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,13:09,13:38,Innenstadt-Ost,Weststadt,Schule/Uni,3.2,Fahrrad,nein,49.008698,8.409005,49.010677,8.379251
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,22:21,22:39,Weststadt,Weststadt,Heimweg,1.5,zu Fuß,nein,49.010677,8.379251,49.010677,8.379251
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,23:31,00:00,Weststadt,Innenstadt-Ost,Arbeit,1.6,zu Fuß,nein,49.010677,8.379251,49.008698,8.409005
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,08:56,09:26,Innenstadt-Ost,Weststadt,Sport,3.3,Fahrrad,nein,49.008698,8.409005,49.010677,8.379251
12,32,weiblich,Angestellt,Wohngemeinschaft,Grünwinkel,12:07,12:27,Weststadt,Grünwinkel,Heimweg,2.1,zu Fuß,nein,49.010677,8.379251,49.002502,8.354849
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,06:49,07:14,Grötzingen,Innenstadt-West,Arbeit,3.3,multimodal,ja,49.00721,8.496097,49.01198,8.39505
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,11:37,12:02,Innenstadt-West,Grünwinkel,Schule/Uni,2.7,ÖPNV,nein,49.01198,8.39505,49.002502,8.354849
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,19:34,19:56,Grünwinkel,Durlach,Schule/Uni,3.6,multimodal,ja,49.002502,8.354849,48.99915,8.471758
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,23:58,00:14,Durlach,Weststadt,Arbeit,8.4,multimodal,ja,48.99915,8.471758,49.010677,8.379251
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,08:29,09:18,Weststadt,Innenstadt-West,Schule/Uni,3.3,multimodal,ja,49.010677,8.379251,49.01198,8.39505
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,17:49,18:34,Innenstadt-West,Weststadt,Begleitung,3.7,Fahrrad,nein,49.01198,8.39505,49.010677,8.379251
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,19:00,19:37,Weststadt,Mühlburg,Heimweg,2.1,Fahrrad,nein,49.010677,8.379251,49.012547,8.363908
13,42,männlich,Schüler*in,Wohngemeinschaft,Oberreut,21:07,21:45,Mühlburg,Grötzingen,Heimweg,3.0,ÖPNV,nein,49.012547,8.363908,49.00721,8.496097
14,18,weiblich,Rentner*in,Paar ohne Kinder,Oberreut,06:36,07:03,Durlach,Oststadt,Heimweg,3.5,ÖPNV,nein,48.99915,8.471758,49.01102,8.425555
14,18,weiblich,Rentner*in,Paar ohne Kinder,Oberreut,08:26,08:57,Oststadt,Innenstadt-West,Freizeit,2.6,ÖPNV,nein,49.01102,8.425555,49.01198,8.39505
14,18,weiblich,Rentner*in,Paar ohne Kinder,Oberreut,10:49,11:20,Innenstadt-West,Weststadt,Einkaufen,7.3,multimodal,ja,49.01198,8.39505,49.010677,8.379251
14,18,weiblich,Rentner*in,Paar ohne Kinder,Oberreut,12:14,12:25,Weststadt,Grünwinkel,Sport,1.6,Fahrrad,nein,49.010677,8.379251,49.002502,8.354849
14,18,weiblich,Rentner*in,Paar ohne Kinder,Oberreut,14:10,14:39,Grünwinkel,Durlach,Heimweg,4.3,Fahrrad,nein,49.002502,8.354849,48.99915,8.471758
15,18,männlich,Student*in,alleinlebend,Durlach,06:39,07:20,Innenstadt-West,Weststadt,Arbeit,2.7,Fahrrad,nein,49.01198,8.39505,49.010677,8.379251
15,18,männlich,Student*in,alleinlebend,Durlach,14:47,15:07,Weststadt,Oststadt,Schule/Uni,6.5,multimodal,ja,49.010677,8.379251,49.01102,8.425555
15,18,männlich,Student*in,alleinlebend,Durlach,22:28,22:39,Oststadt,Weststadt,Einkaufen,2.4,Fahrrad,nein,49.01102,8.425555,49.010677,8.379251
15,18,männlich,Student*in,alleinlebend,Durlach,23:12,23:38,Weststadt,Innenstadt-West,Heimweg,3.2,Auto,nein,49.010677,8.379251,49.01198,8.39505
15,18,männlich,Student*in,alleinlebend,Durlach,00:56,01:23,Innenstadt-West,Durlach,Einkaufen,1.4,zu Fuß,nein,49.01198,8.39505,48.99915,8.471758
15,18,männlich,Student*in,alleinlebend,Durlach,01:54,02:38,Durlach,Oststadt,Sport,1.5,Fahrrad,nein,48.99915,8.471758,49.01102,8.425555
15,18,männlich,Student*in,alleinlebend,Durlach,05:01,05:13,Oststadt,Innenstadt-West,Heimweg,4.5,Fahrrad,nein,49.01102,8.425555,49.01198,8.39505
16,30,weiblich,Angestellt,alleinlebend,Weststadt,05:32,05:50,Durlach,Innenstadt-Ost,Heimweg,3.3,ÖPNV,nein,48.99915,8.471758,49.008698,8.409005
16,30,weiblich,Angestellt,alleinlebend,Weststadt,07:49,08:15,Innenstadt-Ost,Oststadt,Begleitung,9.1,multimodal,ja,49.008698,8.409005,49.01102,8.425555
16,30,weiblich,Angestellt,alleinlebend,Weststadt,08:30,08:59,Oststadt,Innenstadt-Ost,Erholung,3.8,Fahrrad,nein,49.01102,8.425555,49.008698,8.409005
16,30,weiblich,Angestellt,alleinlebend,Weststadt,10:47,11:22,Innenstadt-Ost,Weststadt,Arbeit,5.6,ÖPNV,nein,49.008698,8.409005,49.010677,8.379251
16,30,weiblich,Angestellt,alleinlebend,Weststadt,17:26,17:42,Weststadt,Oststadt,Schule/Uni,2.6,zu Fuß,nein,49.010677,8.379251,49.01102,8.425555
16,30,weiblich,Angestellt,alleinlebend,Weststadt,22:43,22:55,Oststadt,Weststadt,Schule/Uni,2.2,Fahrrad,nein,49.01102,8.425555,49.010677,8.379251
16,30,weiblich,Angestellt,alleinlebend,Weststadt,05:49,05:59,Weststadt,Knielingen,Heimweg,8.4,multimodal,ja,49.010677,8.379251,49.030273,8.341243
16,30,weiblich,Angestellt,alleinlebend,Weststadt,07:50,08:29,Knielingen,Durlach,Arztbesuch,4.7,ÖPNV,nein,49.030273,8.341243,48.99915,8.471758
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,06:31,06:58,Grötzingen,Innenstadt-West,Arbeit,2.8,ÖPNV,nein,49.00721,8.496097,49.01198,8.39505
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,14:48,15:13,Innenstadt-West,Grünwinkel,Erholung,2.9,Fahrrad,nein,49.01198,8.39505,49.002502,8.354849
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,16:16,16:57,Grünwinkel,Oststadt,Freizeit,2.3,E-Scooter,nein,49.002502,8.354849,49.01102,8.425555
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,18:30,19:01,Oststadt,Neureut,Arbeit,3.8,ÖPNV,nein,49.01102,8.425555,49.046406,8.377001
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,23:06,23:49,Neureut,Innenstadt-West,Heimweg,1.6,zu Fuß,nein,49.046406,8.377001,49.01198,8.39505
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,01:30,01:55,Innenstadt-West,Weststadt,Arbeit,1.8,multimodal,ja,49.01198,8.39505,49.010677,8.379251
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,08:33,08:49,Weststadt,Innenstadt-West,Schule/Uni,2.9,Fahrrad,nein,49.010677,8.379251,49.01198,8.39505
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,15:45,16:22,Innenstadt-West,Mühlburg,Heimweg,3.3,Fahrrad,nein,49.01198,8.39505,49.012547,8.363908
17,24,weiblich,Angestellt,Paar ohne Kinder,Mühlburg,17:26,17:55,Mühlburg,Grötzingen,Heimweg,1.9,Auto,nein,49.012547,8.363908,49.00721,8.496097
18,44,weiblich,Schüler*in,Paar ohne Kinder,Weststadt,05:45,06:07,Innenstadt-West,Weststadt,Arbeit,4.1,Auto,nein,49.01198,8.39505,49.010677,8.379251
18,44,weiblich,Schüler*in,Paar ohne Kinder,Weststadt,14:35,15:03,Weststadt,Weststadt,Einkaufen,0.9,multimodal,ja,49.010677,8.379251,49.010677,8.379251
18,44,weiblich,Schüler*in,Paar ohne Kinder,Weststadt,15:56,16:17,Weststadt,Neureut,Arbeit,1.3,Fahrrad,nein,49.010677,8.379251,49.046406,8.377001
18,44,weiblich,Schüler*in,Paar ohne Kinder,Weststadt,20:44,21:29,Neureut,Innenstadt-West,Arbeit,6.8,ÖPNV,nein,49.046406,8.377001,49.01198,8.39505
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,06:06,06:37,Mühlburg,Innenstadt-Ost,Heimweg,3.5,Fahrrad,nein,49.012547,8.363908,49.008698,8.409005
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,07:21,07:35,Innenstadt-Ost,Innenstadt-Ost,Begleitung,1.4,Auto,nein,49.008698,8.409005,49.008698,8.409005
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,07:49,08:08,Innenstadt-Ost,Neureut,Heimweg,1.7,Fahrrad,nein,49.008698,8.409005,49.046406,8.377001
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,09:31,09:55,Neureut,Durlach,Heimweg,5.0,multimodal,ja,49.046406,8.377001,48.99915,8.471758
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,11:19,11:48,Durlach,Innenstadt-Ost,Sport,6.7,ÖPNV,nein,48.99915,8.471758,49.008698,8.409005
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,14:25,14:48,Innenstadt-Ost,Oststadt,Begleitung,2.1,zu Fuß,nein,49.008698,8.409005,49.01102,8.425555
19,25,männlich,Rentner*in,Wohngemeinschaft,Innenstadt-Ost,15:03,15:48,Oststadt,Mühlburg,Heimweg,1.1,zu Fuß,nein,49.01102,8.425555,49.012547,8.363908
20,18,weiblich,Student*in,alleinlebend,Knielingen,06:46,07:10,Rüppurr,Innenstadt-West,Erholung,3.2,Fahrrad,nein,48.97479,8.404967,49.01198,8.39505
20,18,weiblich,Student*in,alleinlebend,Knielingen,08:07,10:01,Innenstadt-West,Oberreut,Einkaufen,2.3,zu Fuß,nein,49.01198,8.39505,48.98578,8.361476
20,18,weiblich,Student*in,alleinlebend,Knielingen,11:05,11:29,Oberreut,Oststadt,Arztbesuch,2.8,multimodal,ja,48.98578,8.361476,49.01102,8.425555
20,18,weiblich,Student*in,alleinlebend,Knielingen,12:09,12:38,Oststadt,Neureut,Sport,3.5,Fahrrad,nein,49.01102,8.425555,49.046406,8.377001
20,18,weiblich,Student*in,alleinlebend,Knielingen,14:37,15:06,Neureut,Oststadt,Begleitung,4.0,Auto,nein,49.046406,8.377001,49.01102,8.425555
20,18,weiblich,Student*in,alleinlebend,Knielingen,15:18,15:30,Oststadt,Grötzingen,Begleitung,2.1,Fahrrad,nein,49.01102,8.425555,49.00721,8.496097
20,18,weiblich,Student*in,alleinlebend,Knielingen,15:42,16:06,Grötzingen,Grünwinkel,Heimweg,1.9,E-Scooter,nein,49.00721,8.496097,49.002502,8.354849
20,18,weiblich,Student*in,alleinlebend,Knielingen,18:02,18:29,Grünwinkel,Rüppurr,Heimweg,5.3,Auto,nein,49.002502,8.354849,48.97479,8.404967
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,06:36,06:57,Knielingen,Durlach,Freizeit,3.2,Fahrrad,nein,49.030273,8.341243,48.99915,8.471758
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,08:26,08:48,Durlach,Oststadt,Einkaufen,2.3,multimodal,ja,48.99915,8.471758,49.01102,8.425555
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,10:02,10:43,Oststadt,Weststadt,Heimweg,2.5,zu Fuß,nein,49.01102,8.425555,49.010677,8.379251
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,12:11,12:26,Weststadt,Oststadt,Einkaufen,1.6,zu Fuß,nein,49.010677,8.379251,49.01102,8.425555
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,13:51,14:33,Oststadt,Innenstadt-Ost,Heimweg,5.5,ÖPNV,nein,49.01102,8.425555,49.008698,8.409005
21,61,weiblich,Angestellt,Familie mit Kindern,Oststadt,15:55,16:08,Innenstadt-Ost,Knielingen,Heimweg,1.5,zu Fuß,nein,49.008698,8.409005,49.030273,8.341243
22,35,weiblich,Angestellt,alleinlebend,Knielingen,06:26,06:53,Innenstadt-West,Oststadt,Heimweg,4.8,Auto,nein,49.01198,8.39505,49.01102,8.425555
22,35,weiblich,Angestellt,alleinlebend,Knielingen,08:00,07:49,Oststadt,Grünwinkel,Arbeit,4.0,Fahrrad,nein,49.01102,8.425555,49.002502,8.354849
22,35,weiblich,Angestellt,alleinlebend,Knielingen,16:31,17:07,Grünwinkel,Innenstadt-Ost,Erholung,2.0,Fahrrad,nein,49.002502,8.354849,49.008698,8.409005
22,35,weiblich,Angestellt,alleinlebend,Knielingen,19:53,20:12,Innenstadt-Ost,Oststadt,Einkaufen,3.8,multimodal,ja,49.008698,8.409005,49.01102,8.425555
22,35,weiblich,Angestellt,alleinlebend,Knielingen,21:35,22:15,Oststadt,Weststadt,Sport,1.9,E-Scooter,nein,49.01102,8.425555,49.010677,8.379251
22,35,weiblich,Angestellt,alleinlebend,Knielingen,23:39,00:21,Weststadt,Oststadt,Arbeit,2.4,zu Fuß,nein,49.010677,8.379251,49.01102,8.425555
22,35,weiblich,Angestellt,alleinlebend,Knielingen,07:53,08:24,Oststadt,Mühlburg,Begleitung,1.4,Fahrrad,nein,49.01102,8.425555,49.012547,8.363908
22,35,weiblich,Angestellt,alleinlebend,Knielingen,08:52,09:33,Mühlburg,Innenstadt-West,Heimweg,3.4,Fahrrad,nein,49.012547,8.363908,49.01198,8.39505
23,40,männlich,Student*in,Wohngemeinschaft,Knielingen,06:12,06:46,Grünwinkel,Oststadt,Heimweg,2.8,zu Fuß,nein,49.002502,8.354849,49.01102,8.425555
23,40,männlich,Student*in,Wohngemeinschaft,Knielingen,07:46,08:20,Oststadt,Weststadt,Heimweg,2.9,Fahrrad,nein,49.01102,8.425555,49.010677,8.379251
23,40,männlich,Student*in,Wohngemeinschaft,Knielingen,08:32,10:12,Weststadt,Oberreut,Arbeit,5.7,ÖPNV,nein,49.010677,8.379251,48.98578,8.361476
23,40,männlich,Student*in,Wohngemeinschaft,Knielingen,17:01,17:17,Oberreut,Knielingen,Schule/Uni,3.4,Fahrrad,nein,48.98578,8.361476,49.030273,8.341243
23,40,männlich,Student*in,Wohngemeinschaft,Knielingen,21:24,21:43,Knielingen,Grünwinkel,Heimweg,1.9,zu Fuß,nein,49.030273,8.341243,49.002502,8.354849
24,18,männlich,Angestellt,alleinlebend,Oststadt,06:30,07:01,Oststadt,Weststadt,Arbeit,4.1,Fahrrad,nein,49.01102,8.425555,49.010677,8.379251
24,18,männlich,Angestellt,alleinlebend,Oststadt,15:34,16:08,Weststadt,Oberreut,Einkaufen,7.0,ÖPNV,nein,49.010677,8.379251,48.98578,8.361476
